Etiquette,Presentation (FR)
CONJ.PERFECT_VERB.PVSUFF_SUBJ:3MS.PVSUFF_DO:3P,conjonction (proclitique) + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. masc. sg.) + suffixe clitique objet direct sur le verbe à l'accompli (3e pers. pl.)
CONJ.PERFECT_VERB.PVSUFF_SUBJ:3MS.Prep.PRON_1S,"conjonction (proclitique) + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. masc. sg.) + préposition [variante de casse] + pronom personnel, 1re pers. sg."
CONJ.PERFECT_VERB.PVSUFF_SUBJ:3MS.Prep.PRON_2S,"conjonction (proclitique) + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. masc. sg.) + préposition [variante de casse] + pronom personnel, 2e pers. sg."
CONJ.PERFECT_VERB.PVSUFF_SUBJ:3MS.Prep.PRON_3MF,"conjonction (proclitique) + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. masc. sg.) + préposition [variante de casse] + pronom personnel, 3e pers. masc./fém. sg."
CONJ.PERFECT_VERB.PVSUFF_SUBJ:3MS.Prep.PRON_3MS,"conjonction (proclitique) + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. masc. sg.) + préposition [variante de casse] + pronom personnel, 3e pers. masc. sg."
CONJ.PERFECT_VERB.PVSUFF_SUBJ:3MS.Prep.PRON_3P,"conjonction (proclitique) + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. masc. sg.) + préposition [variante de casse] + pronom personnel, 3e pers. pl."
CONJ.PERFECT_VERB.PVSUFF_SUBJ:3P,conjonction (proclitique) + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. pl.)
CONJ.PERFECT_VERB.PVSUFF_SUBJ:3P.PVSUFF_DO:1P,conjonction (proclitique) + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. pl.) + suffixe clitique objet direct sur le verbe à l'accompli (1re pers. pl.)
CONJ.PERFECT_VERB.PVSUFF_SUBJ:3P.PVSUFF_DO:1S,conjonction (proclitique) + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. pl.) + suffixe clitique objet direct sur le verbe à l'accompli (1re pers. sg.)
CONJ.PERFECT_VERB.PVSUFF_SUBJ:3P.PVSUFF_DO:3MS,conjonction (proclitique) + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. pl.) + suffixe clitique objet direct sur le verbe à l'accompli (3e pers. masc. sg.)
CONJ.PERFECT_VERB.PVSUFF_SUBJ:P.PVSUFF_DO:1P,conjonction (proclitique) + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (pl.) + suffixe clitique objet direct sur le verbe à l'accompli (1re pers. pl.)
CONJ.PERFECT_VERB.PVSUFF_SUBJ:P.PVSUFF_DO:1S,conjonction (proclitique) + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (pl.) + suffixe clitique objet direct sur le verbe à l'accompli (1re pers. sg.)
CONJ.PERFECT_VERB.PVSUFF_SUBJ:P.PVSUFF_DO:3FS,conjonction (proclitique) + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (pl.) + suffixe clitique objet direct sur le verbe à l'accompli (3e pers. fém. sg.)
CONJ.PERFECT_VERB.PVSUFF_SUBJ:P.Prep.PRON_3MF,"conjonction (proclitique) + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (pl.) + préposition [variante de casse] + pronom personnel, 3e pers. masc./fém. sg."
CONJ.PERFECT_VERB.SUFF_SUBJ:3MS.Prep.PRON_1S,"conjonction (proclitique) + verbe à l'accompli (perfectif) + suffixe sujet [coquille : préfixe IV/PV manquant] (3e pers. masc. sg.) + préposition [variante de casse] + pronom personnel, 1re pers. sg."
CONJ.PREP,conjonction (proclitique) + préposition
CONJ.PREP-MSA,"conjonction (proclitique) + préposition (arabe standard, MSA)"
CONJ.PREP-MSA.NOUN-MSA,"conjonction (proclitique) + préposition (arabe standard, MSA) + nom (arabe standard, MSA)"
CONJ.PREP.ADJ,conjonction (proclitique) + préposition + adjectif
CONJ.PREP.ADV,conjonction (proclitique) + préposition + adverbe
CONJ.PREP.DEM_PRON_MS,conjonction (proclitique) + préposition + pronom démonstratif masculin singulier
CONJ.PREP.DEM_PRON_S,conjonction (proclitique) + préposition + pronom démonstratif singulier
CONJ.PREP.DET.NOUN,conjonction (proclitique) + préposition + déterminant (article défini) + nom
CONJ.PREP.DET.NOUN-MSA.NSUFF_FEM_SG,"conjonction (proclitique) + préposition + déterminant (article défini) + nom (arabe standard, MSA) + suffixe nominal féminin singulier"
CONJ.PREP.DET.NOUN.NSUFF_FEM_SG,conjonction (proclitique) + préposition + déterminant (article défini) + nom + suffixe nominal féminin singulier
CONJ.PREP.NOUN,conjonction (proclitique) + préposition + nom
CONJ.PREP.NOUN-MSA,"conjonction (proclitique) + préposition + nom (arabe standard, MSA)"
CONJ.PREP.NOUN.NSUFF_FEM_SG.POSS_PRON_2S,"conjonction (proclitique) + préposition + nom + suffixe nominal féminin singulier + pronom possessif, 2e pers. sg."
CONJ.PREP.NOUN.NSUFF_MASC_DU.POSS_PRON_3MS,"conjonction (proclitique) + préposition + nom + suffixe nominal masculin duel + pronom possessif, 3e pers. masc. sg."
CONJ.PREP.NOUN.POSS_PRON_1S,"conjonction (proclitique) + préposition + nom + pronom possessif, 1re pers. sg."
CONJ.PREP.NOUN.POSS_PRON_3FS,"conjonction (proclitique) + préposition + nom + pronom possessif, 3e pers. fém. sg."
CONJ.PREP.NOUN.POSS_PRON_3MS,"conjonction (proclitique) + préposition + nom + pronom possessif, 3e pers. masc. sg."
CONJ.PREP.PRON_1P,"conjonction (proclitique) + préposition + pronom personnel, 1re pers. pl."
CONJ.PREP.PRON_1S,"conjonction (proclitique) + préposition + pronom personnel, 1re pers. sg."
CONJ.PREP.PRON_2P,"conjonction (proclitique) + préposition + pronom personnel, 2e pers. pl."
CONJ.PREP.PRON_2S,"conjonction (proclitique) + préposition + pronom personnel, 2e pers. sg."
CONJ.PREP.PRON_3FS,"conjonction (proclitique) + préposition + pronom personnel, 3e pers. fém. sg."
CONJ.PREP.PRON_3MP,"conjonction (proclitique) + préposition + pronom personnel, 3e pers. masc. pl."
CONJ.PREP.PRON_3MS,"conjonction (proclitique) + préposition + pronom personnel, 3e pers. masc. sg."
CONJ.PREP.PROPN,conjonction (proclitique) + préposition + nom propre
CONJ.PREP.REL_PRON,conjonction (proclitique) + préposition + pronom relatif
CONJ.PRG_PART.IMPERFECT_VERB.IVSUFF_SUBJ,conjonction (proclitique) + particule de progressif (aspect progressif) + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli
CONJ.PRG_PART.IV1P.IMPERFECT_VERB.IVSUFF_SUBJ:P,"conjonction (proclitique) + particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 1re pers. pl. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (pl.)"
CONJ.PRG_PART.IV1S.IMPERFECT_VERB.IVSUFF_SUBJ,"conjonction (proclitique) + particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 1re pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli"
CONJ.PRG_PART.IV1S.IMPERFECT_VERB_MSA.IVSUFF_SUBJ,"conjonction (proclitique) + particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 1re pers. sg. + verbe à l'inaccompli (arabe standard, MSA) + suffixe sujet du verbe à l'inaccompli"
CONJ.PRG_PART.IV1S.PV_MSA.IVSUFF_SUBJ.IVSUFF_DO:2S,"conjonction (proclitique) + particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 1re pers. sg. + verbe à l'accompli (arabe standard, MSA) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (2e pers. sg.)"
CONJ.PRG_PART.IV2S.IMPERFECT_VERB.IVSUFF_SUBJ,"conjonction (proclitique) + particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 2e pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli"
CONJ.PRG_PART.IV2S.IMPERFECT_VERB.PVSUFF_SUBJ:2FS.Prep.PRON_1S,"conjonction (proclitique) + particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 2e pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'accompli (2e pers. fém. sg.) + préposition [variante de casse] + pronom personnel, 1re pers. sg."
CONJ.PRG_PART.IV3FS.IMPERFECT_VERB.IVSUFF_SUBJ,"conjonction (proclitique) + particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 3e pers. fém. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli"
CONJ.PRG_PART.IV3FS.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:3FS,"conjonction (proclitique) + particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 3e pers. fém. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. fém. sg.)"
CONJ.PRG_PART.IV3MS.IMPERFECT_VERB.IVSUFF_SUBJ,"conjonction (proclitique) + particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 3e pers. masc. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli"
CONJ.PRG_PART.IV3MS.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:1P,"conjonction (proclitique) + particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 3e pers. masc. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (1re pers. pl.)"
CONJ.PRG_PART.IV3MS.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:1S,"conjonction (proclitique) + particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 3e pers. masc. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (1re pers. sg.)"
CONJ.PRG_PART.IV3MS.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:2S,"conjonction (proclitique) + particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 3e pers. masc. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (2e pers. sg.)"
CONJ.PRG_PART.IV3MS.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:3FS,"conjonction (proclitique) + particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 3e pers. masc. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. fém. sg.)"
CONJ.PRG_PART.IV3MS.IMPERFECT_VERB.IVSUFF_SUBJ:P,"conjonction (proclitique) + particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 3e pers. masc. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (pl.)"
CONJ.PRG_PART.IV3P.IMPERFECT_VERB.IVSUFF_SUBJ:P,"conjonction (proclitique) + particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 3e pers. pl. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (pl.)"
CONJ.PRG_PART.IV3P.IMPERFECT_VERB_MSA.IVSUFF_SUBJ:P,"conjonction (proclitique) + particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 3e pers. pl. + verbe à l'inaccompli (arabe standard, MSA) + suffixe sujet du verbe à l'inaccompli (pl.)"
CONJ.PRG_PART.IV3P.V-foreign.IVSUFF_SUBJ:P.IVSUFF_DO:3P,"conjonction (proclitique) + particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 3e pers. pl. + verbe conjugué d'origine étrangère + suffixe sujet du verbe à l'inaccompli (pl.) + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. pl.)"
CONJ.PRON_1P,"conjonction (proclitique) + pronom personnel, 1re pers. pl."
CONJ.PRON_1S,"conjonction (proclitique) + pronom personnel, 1re pers. sg."
CONJ.PRON_2FS,"conjonction (proclitique) + pronom personnel, 2e pers. fém. sg."
CONJ.PRON_2MS,"conjonction (proclitique) + pronom personnel, 2e pers. masc. sg."
CONJ.PRON_3FS,"conjonction (proclitique) + pronom personnel, 3e pers. fém. sg."
CONJ.PRON_3MS,"conjonction (proclitique) + pronom personnel, 3e pers. masc. sg."
CONJ.PRON_3P,"conjonction (proclitique) + pronom personnel, 3e pers. pl."
CONJ.PROPN,conjonction (proclitique) + nom propre
CONJ.PV,conjonction (proclitique) + verbe à l'accompli (radical conjugué)
CONJ.PV-foreign.PVSUFF_SUBJ:1S,"conjonction (proclitique) + verbe à l'accompli, forme étrangère + suffixe sujet du verbe à l'accompli (1re pers. sg.)"
CONJ.PV-foreign.PVSUFF_SUBJ:3F,"conjonction (proclitique) + verbe à l'accompli, forme étrangère + suffixe sujet du verbe à l'accompli (3e pers. fém. sg.)"
CONJ.Prep-NOUN,conjonction (proclitique) + préposition + nom (agglutinés) [variante de casse]
CONJ.REL_PRON,conjonction (proclitique) + pronom relatif
CONJ.V-foreign.PVSUFF_SUBJ:1S,conjonction (proclitique) + verbe conjugué d'origine étrangère + suffixe sujet du verbe à l'accompli (1re pers. sg.)
CV-foreign.CVSUFF_SUBJ:2MS,"verbe à l'impératif, forme étrangère + suffixe sujet du verbe à l'impératif (2e pers. masc. sg.)"
CV.PRON_2P,"verbe à l'impératif (radical conjugué) + pronom personnel, 2e pers. pl."
CoONJ.NEG.PRG_PART.IV3P.IMPERFECT_VERB.IVSUFF_SUBJ:P.IVSUFF_DO:1S.NEG,"conjonction (proclitique) [coquille : CoONJ] + marque de négation + particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 3e pers. pl. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (pl.) + suffixe clitique objet direct sur le verbe à l'inaccompli (1re pers. sg.) + marque de négation"
DET-foreign.NOUN-Foreign.NSUFF_FEM_SG,déterminant sur base étrangère + nom d'origine étrangère + suffixe nominal féminin singulier
DET.ADJ,déterminant (article défini) + adjectif
DET.ADJ-MSA,"déterminant (article défini) + adjectif (arabe standard, MSA)"
DET.ADJ-MSA.NSUFF_FEM_SG,"déterminant (article défini) + adjectif (arabe standard, MSA) + suffixe nominal féminin singulier"
DET.ADJ-foreign,déterminant (article défini) + adjectif d'origine étrangère
DET.ADJ.IVSUFF_SUBJ,déterminant (article défini) + adjectif + suffixe sujet du verbe à l'inaccompli
DET.ADJ.NSUFF_FEM_PL,déterminant (article défini) + adjectif + suffixe nominal féminin pluriel
DET.ADJ.NSUFF_FEM_SG,déterminant (article défini) + adjectif + suffixe nominal féminin singulier
DET.ADJ.NSUFF_MASC_PL,déterminant (article défini) + adjectif + suffixe nominal masculin pluriel
DET.ADV,déterminant (article défini) + adverbe
DET.ADV.NSUFF_MASC_PL,déterminant (article défini) + adverbe + suffixe nominal masculin pluriel
DET.NOUN,déterminant (article défini) + nom
DET.NOUN-Foreign,déterminant (article défini) + nom d'origine étrangère
DET.NOUN-Foreign.NSUFF_FEM_PL,déterminant (article défini) + nom d'origine étrangère + suffixe nominal féminin pluriel
DET.NOUN-Foreign.NSUFF_FEM_SG,déterminant (article défini) + nom d'origine étrangère + suffixe nominal féminin singulier
DET.NOUN-MSA,"déterminant (article défini) + nom (arabe standard, MSA)"
DET.NOUN-MSA.NSUFF_FEM_PL,"déterminant (article défini) + nom (arabe standard, MSA) + suffixe nominal féminin pluriel"
DET.NOUN-MSA.NSUFF_FEM_SG,"déterminant (article défini) + nom (arabe standard, MSA) + suffixe nominal féminin singulier"
DET.NOUN-MSA.NSUFF_MASC_PL,"déterminant (article défini) + nom (arabe standard, MSA) + suffixe nominal masculin pluriel"
DET.NOUN-foreign,déterminant (article défini) + nom d'origine étrangère
DET.NOUN-foreign.NSUFF_FEM_SG,déterminant (article défini) + nom d'origine étrangère + suffixe nominal féminin singulier
DET.NOUN.IVSUFF_SUBJ,déterminant (article défini) + nom + suffixe sujet du verbe à l'inaccompli
DET.NOUN.NSUFF_FEM_PL,déterminant (article défini) + nom + suffixe nominal féminin pluriel
DET.NOUN.NSUFF_FEM_SG,déterminant (article défini) + nom + suffixe nominal féminin singulier
DET.NOUN.NSUFF_MASC,déterminant (article défini) + nom + suffixe nominal masculin
DET.NOUN.NSUFF_MASC_DU,déterminant (article défini) + nom + suffixe nominal masculin duel
DET.NOUN.NSUFF_MASC_PL,déterminant (article défini) + nom + suffixe nominal masculin pluriel
DET.Nall-foreign.NSUFF_FEM_SG,déterminant (article défini) + nom d'origine étrangère [coquille : Nall pour Noun] + suffixe nominal féminin singulier
DET.Numb.NSUFF_FEM_SG,déterminant (article défini) + numéral / nombre + suffixe nominal féminin singulier
DET.PROPN,déterminant (article défini) + nom propre
EMPHATIC_PARTICLE.PRON_2FS,"particule d'emphase + pronom personnel, 2e pers. fém. sg."
EMPHATIC_PARTICLE.PRON_2S,"particule d'emphase + pronom personnel, 2e pers. sg."
EMPHATIC_PARTICLE.PRON_3MS,"particule d'emphase + pronom personnel, 3e pers. masc. sg."
EMP_PART.ADJ,particule d'emphase (clitique) + adjectif
EMP_PART.ADJ.NSUFF_FEM_SG,particule d'emphase (clitique) + adjectif + suffixe nominal féminin singulier
EMP_PART.ADJ.NSUFF_FEM_SG.POSS_PRON_1S,"particule d'emphase (clitique) + adjectif + suffixe nominal féminin singulier + pronom possessif, 1re pers. sg."
EMP_PART.ADJ.POSS_PRON_1S,"particule d'emphase (clitique) + adjectif + pronom possessif, 1re pers. sg."
EMP_PART.ADV,particule d'emphase (clitique) + adverbe
EMP_PART.DEM_PRON_FS,particule d'emphase (clitique) + pronom démonstratif féminin singulier
EMP_PART.DEM_PRON_FS_MSA,"particule d'emphase (clitique) + pronom démonstratif féminin singulier (arabe standard, MSA)"
EMP_PART.DEM_PRON_MS,particule d'emphase (clitique) + pronom démonstratif masculin singulier
EMP_PART.DET.ADJ.NSUFF_FEM_SG,particule d'emphase (clitique) + déterminant (article défini) + adjectif + suffixe nominal féminin singulier
EMP_PART.DET.NOUN,particule d'emphase (clitique) + déterminant (article défini) + nom
EMP_PART.DET.NOUN-Foreign,particule d'emphase (clitique) + déterminant (article défini) + nom d'origine étrangère
EMP_PART.DET.NOUN.NSUFF_FEM_PL,particule d'emphase (clitique) + déterminant (article défini) + nom + suffixe nominal féminin pluriel
EMP_PART.DET.NOUN.NSUFF_FEM_SG,particule d'emphase (clitique) + déterminant (article défini) + nom + suffixe nominal féminin singulier
EMP_PART.FUNC_WORD,particule d'emphase (clitique) + mot outil / mot fonctionnel
EMP_PART.IMPERATIVE_VERB.CVSUFF_SUBJ:2FS,particule d'emphase (clitique) + verbe à l'impératif + suffixe sujet du verbe à l'impératif (2e pers. fém. sg.)
EMP_PART.IMPERATIVE_VERB.CVSUFF_SUBJ:2MS,particule d'emphase (clitique) + verbe à l'impératif + suffixe sujet du verbe à l'impératif (2e pers. masc. sg.)
EMP_PART.IMPERATIVE_VERB.CVSUFF_SUBJ:2MS.CVSUFF_DO:1S,particule d'emphase (clitique) + verbe à l'impératif + suffixe sujet du verbe à l'impératif (2e pers. masc. sg.) + suffixe clitique objet direct sur le verbe à l'impératif (1re pers. sg.)
EMP_PART.INTERJ,particule d'emphase (clitique) + interjection
EMP_PART.INTERROG_PART,particule d'emphase (clitique) + particule interrogative
EMP_PART.NOUN,particule d'emphase (clitique) + nom
EMP_PART.NOUN-Foreign,particule d'emphase (clitique) + nom d'origine étrangère
EMP_PART.NOUN-Foreign.NSUFF_FEM_SG,particule d'emphase (clitique) + nom d'origine étrangère + suffixe nominal féminin singulier
EMP_PART.NOUN.NSUFF_FEM_PL.POSS_PRON_1S,"particule d'emphase (clitique) + nom + suffixe nominal féminin pluriel + pronom possessif, 1re pers. sg."
EMP_PART.NOUN.NSUFF_FEM_SG,particule d'emphase (clitique) + nom + suffixe nominal féminin singulier
EMP_PART.NOUN.NSUFF_FEM_SG.POSS_PRON_1S,"particule d'emphase (clitique) + nom + suffixe nominal féminin singulier + pronom possessif, 1re pers. sg."
EMP_PART.NOUN.POSS_PRON_1S,"particule d'emphase (clitique) + nom + pronom possessif, 1re pers. sg."
EMP_PART.NOUN.POSS_PRON_3FS,"particule d'emphase (clitique) + nom + pronom possessif, 3e pers. fém. sg."
EMP_PART.NOUN.PRON_1S,"particule d'emphase (clitique) + nom + pronom personnel, 1re pers. sg."
EMP_PART.PERFECT_VERB.PVSUFF_SUBJ:1S,particule d'emphase (clitique) + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (1re pers. sg.)
EMP_PART.PERFECT_VERB.PVSUFF_SUBJ:2S,particule d'emphase (clitique) + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (2e pers. sg.)
EMP_PART.PERFECT_VERB.PVSUFF_SUBJ:3F.PVSUFF_DO:3MS,particule d'emphase (clitique) + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. fém. sg.) + suffixe clitique objet direct sur le verbe à l'accompli (3e pers. masc. sg.)
EMP_PART.PERFECT_VERB.PVSUFF_SUBJ:3P.PVSUFF_DO:1S,particule d'emphase (clitique) + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. pl.) + suffixe clitique objet direct sur le verbe à l'accompli (1re pers. sg.)
EMP_PART.PREP,particule d'emphase (clitique) + préposition
EMP_PART.PRON_1S,"particule d'emphase (clitique) + pronom personnel, 1re pers. sg."
EMP_PART.PRON_2FS,"particule d'emphase (clitique) + pronom personnel, 2e pers. fém. sg."
EMP_PART.PRON_2MS,"particule d'emphase (clitique) + pronom personnel, 2e pers. masc. sg."
EMP_PART.PRON_2P,"particule d'emphase (clitique) + pronom personnel, 2e pers. pl."
EMP_PART.PRON_2S,"particule d'emphase (clitique) + pronom personnel, 2e pers. sg."
EMP_PART.PRON_3FS,"particule d'emphase (clitique) + pronom personnel, 3e pers. fém. sg."
EMP_PART.PRON_3MP,"particule d'emphase (clitique) + pronom personnel, 3e pers. masc. pl."
EMP_PART.PRON_3MS,"particule d'emphase (clitique) + pronom personnel, 3e pers. masc. sg."
EMP_PART.PROPN,particule d'emphase (clitique) + nom propre
FUNC_WORD-MSA.POSS_PRON_2S,"mot outil / mot fonctionnel (arabe standard, MSA) + pronom possessif, 2e pers. sg."
FUNC_WORD-MSA.PRON_1P,"mot outil / mot fonctionnel (arabe standard, MSA) + pronom personnel, 1re pers. pl."
FUNC_WORD-MSA.PRON_1S,"mot outil / mot fonctionnel (arabe standard, MSA) + pronom personnel, 1re pers. sg."
FUNC_WORD-MSA.PRON_2P,"mot outil / mot fonctionnel (arabe standard, MSA) + pronom personnel, 2e pers. pl."
FUNC_WORD-MSA.PRON_2S,"mot outil / mot fonctionnel (arabe standard, MSA) + pronom personnel, 2e pers. sg."
FUNC_WORD-MSA.PRON_3FS,"mot outil / mot fonctionnel (arabe standard, MSA) + pronom personnel, 3e pers. fém. sg."
FUNC_WORD-MSA.PRON_3MP,"mot outil / mot fonctionnel (arabe standard, MSA) + pronom personnel, 3e pers. masc. pl."
FUNC_WORD-MSA.PRON_3MS,"mot outil / mot fonctionnel (arabe standard, MSA) + pronom personnel, 3e pers. masc. sg."
FUNC_WORD.IV2FS.IMPERFECT_VERB.IVSUFF_SUBJ,"mot outil / mot fonctionnel + marqueur de personne à l'inaccompli, 2e pers. fém. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli"
FUNC_WORD.IV3FS.IMPERFECT_VERB.IVSUFF_SUBJ,"mot outil / mot fonctionnel + marqueur de personne à l'inaccompli, 3e pers. fém. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli"
FUNC_WORD.PRON_1P,"mot outil / mot fonctionnel + pronom personnel, 1re pers. pl."
FUNC_WORD.PRON_1S,"mot outil / mot fonctionnel + pronom personnel, 1re pers. sg."
FUNC_WORD.PRON_2P,"mot outil / mot fonctionnel + pronom personnel, 2e pers. pl."
FUNC_WORD.PRON_2S,"mot outil / mot fonctionnel + pronom personnel, 2e pers. sg."
FUNC_WORD.PRON_3FS,"mot outil / mot fonctionnel + pronom personnel, 3e pers. fém. sg."
FUNC_WORD.PRON_3MP,"mot outil / mot fonctionnel + pronom personnel, 3e pers. masc. pl."
FUNC_WORD.PRON_3MS,"mot outil / mot fonctionnel + pronom personnel, 3e pers. masc. sg."
FUT_PART.IV1.IMPERFECT_VERB.IVSUFF_SUBJ,"particule du futur + marqueur de personne à l'inaccompli, 1re pers. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli"
FUT_PART.IV1.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:2S,"particule du futur + marqueur de personne à l'inaccompli, 1re pers. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (2e pers. sg.)"
FUT_PART.IV1.IMPERFECT_VERB.IVSUFF_SUBJ:P,"particule du futur + marqueur de personne à l'inaccompli, 1re pers. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (pl.)"
FUT_PART.IV1P.IMPERFECT_VERB.IVSUFF_SUBJ:P,"particule du futur + marqueur de personne à l'inaccompli, 1re pers. pl. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (pl.)"
FUT_PART.IV1P.IMPERFECT_VERB.IVSUFF_SUBJ:P.IVSUFF_DO:3FS,"particule du futur + marqueur de personne à l'inaccompli, 1re pers. pl. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (pl.) + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. fém. sg.)"
FUT_PART.IV1P.IMPERFECT_VERB.IVSUFF_SUBJ:P.IVSUFF_DO:3MS,"particule du futur + marqueur de personne à l'inaccompli, 1re pers. pl. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (pl.) + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. masc. sg.)"
FUT_PART.IV1S.IMPERFECT_VERB.IVSUFF_SUBJ,"particule du futur + marqueur de personne à l'inaccompli, 1re pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli"
FUT_PART.IV1S.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:2MP,"particule du futur + marqueur de personne à l'inaccompli, 1re pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (2e pers. masc. pl.)"
FUT_PART.IV1S.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:2S,"particule du futur + marqueur de personne à l'inaccompli, 1re pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (2e pers. sg.)"
FUT_PART.IV1S.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:3FS,"particule du futur + marqueur de personne à l'inaccompli, 1re pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. fém. sg.)"
